연도,유형구분,세부유형,시도,행정구,학교명,본분교,학교상태,설립,남여공학,우편번호,도로명주소,연락처,팩스번호,홈페이지,
2016,특성화고(직업),상업고등학교,서울,종로구,경기상업고등학교,본교,기존(원)교,공립,남여공학,030-47 ,서울특별시 종로구 자하문로 136 . 경기상업고등학교 (청운동),02-737-6490,02-722-0504,http://www.ggc.hs.kr,
2016,일반고,일반고등학교,서울,종로구,경복고등학교,본교,기존(원)교,공립,남자,030-47 ,서울특별시 종로구 자하문로28가길 9 . 경복고등학교 (청운동),02-737-4471,02-736-0422,http://www.kyungbock.hs.kr,
2016,일반고,일반고등학교,서울,종로구,경신고등학교,본교,기존(원)교,사립,남자,030-67 ,서울특별시 종로구 혜화로 74 (혜화동.경신중고등학교),02-762-0393,02-762-0387,http://kyungshin.hs.kr,
2016,특성화고(직업),상업고등학교,서울,종로구,대동세무고등학교,본교,기존(원)교,사립,남여공학,030-57 ,서울특별시 종로구 계동길 84-10 . 대동세무고등학교 (계동),02-763-1631,02-763-1632,http://daedong.kr,
2016,일반고,일반고등학교,서울,종로구,대신고등학교,본교,기존(원)교,사립,남자,030-29 ,서울특별시 종로구 사직로 9 (행촌동),02-736-0317,02-722-3520,http://www.dae-shin.hs.kr/,
2016,일반고,일반고등학교,서울,종로구,덕성여자고등학교,본교,기존(원)교,사립,여자,030-61 ,서울특별시 종로구 율곡로3길 50 . 덕성여자고등학교 (안국동),02-734-6871,02-732-5569,http://www.duksung.hs.kr,
2016,자율고,일반고등학교,서울,종로구,동성고등학교,본교,기존(원)교,사립,남자,030-83 ,서울특별시 종로구 대학로 156 동성고등학교 (혜화동 90-7),02-3671-9196,02-765-8239,http://www.dongsung.hs.kr,
2016,일반고,일반고등학교,서울,종로구,배화여자고등학교,본교,기존(원)교,사립,여자,030-27 ,서울특별시 종로구 필운대로1길 34 . 배화여자고등학교 (필운동),02-724-0305,02-723-0752,http://www.paiwha.hs.kr,
2016,일반고,일반고등학교,서울,종로구,상명대학교사범대학부속여자고등학교,본교,기존(원)교,사립,여자,030-16 ,서울특별시 종로구 홍지문2길 20 (홍지동.상명대학교),02-396-6300,02-396-6305,http://sangmyung-agh.hs.kr,
2016,특목고,과학고등학교,서울,종로구,서울과학고등학교,본교,기존(원)교,공립,남여공학,030-66 ,서울특별시 종로구 혜화로 63 (명륜1가),02-740-6205,02-741-1368,http://www.sshs.hs.kr,
2016,특목고,국제고등학교,서울,종로구,서울국제고등학교,본교,기존(원)교,공립,남여공학,030-66 ,서울특별시 종로구 성균관로13길 40 (명륜1가.서울국제고등학교),02-743-9385,02-743-9387,http://www.sghs.kr,
2016,특목고,예술고등학교,서울,종로구,서울예술고등학교,본교,기존(원)교,사립,남여공학,030-11 ,서울특별시 종로구 평창문화로 70 (평창동),02-2287-0500,02-2287-0400,http://www.yego.or.kr,
2016,특성화고(직업),상업고등학교,서울,종로구,서일국제경영고등학교,본교,기존(원)교,사립,여자,030-94 ,서울특별시 종로구 지봉로17길 49 . 서일국제경영고등학교 (창신동),02-763-6242,02-765-8573,http://www.seo-il.hs.kr,
2016,자율고,일반고등학교,서울,종로구,중앙고등학교,본교,기존(원)교,사립,남자,030-51 ,서울특별시 종로구 창덕궁길 164 . 중앙고등학교 (계동),02-742-1321,02-745-6322,http://www.choongang.hs.kr,
2016,일반고,일반고등학교,서울,종로구,풍문여자고등학교,본교,기존(원)교,사립,여자,030-61 ,서울특별시 종로구 율곡로3길 4 (안국동),02-732-2937,02-732-4536,http://www.pungmoon.hs.kr,
2016,특성화고(직업),상업고등학교,서울,중구,경기여자상업고등학교,본교,기존(원)교,사립,여자,045-02 ,서울특별시 중구 만리재로37길 30 . 경기여자상업고등학교 (만리동1가),02-392-6666,02-392-2233,http://www.gggc.hs.kr,
2016,특성화고(직업),상업고등학교,서울,중구,대경상업고등학교,본교,기존(원)교,사립,남여공학,045-92 ,서울특별시 중구 매봉18길 111 . 대경상업고등학교 (신당동),02-2234-0798,02-2237-9142,http://www.daekyeong.hs.kr,
2016,특성화고(직업),공업고등학교,서울,중구,리라아트고등학교,본교,기존(원)교,사립,남여공학,046-28 ,서울특별시 중구 소파로2길 24 (예장동),02-775-6546,02-319-0681,http://www.lila.hs.kr,
